Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,1,1,0,0,0,0
6.610810200,1,1,1,1,0,0,0
6.610810240,1,1,0,0,0,0,0
6.610849680,1,1,0,0,0,0,1
6.610849920,1,1,0,0,0,1,1
6.610850160,1,1,0,0,1,1,1
6.610850400,1,1,1,1,1,1,1
6.610851000,1,1,1,0,1,1,1
6.610851040,1,1,0,0,1,1,1
6.735902600,1,1,1,0,1,1,1
6.755965000,1,1,1,0,1,1,0
6.755965240,1,1,1,0,1,0,0
6.755965480,1,1,1,0,0,0,0
7.071914880,1,1,0,0,0,0,0
7.071919720,1,1,0,0,0,0,1
7.071919960,1,1,0,0,0,1,1
7.071920200,1,1,0,0,1,1,1
7.071920440,1,1,1,1,1,1,1
7.071921040,1,1,0,0,1,1,1
7.195707000,1,1,1,0,1,1,1
7.215769120,1,1,1,0,1,1,0
7.215769360,1,1,1,0,1,0,0
7.215769600,1,1,1,0,0,0,0
7.534680720,1,1,0,0,0,0,0
7.534684240,1,1,0,0,0,0,1
7.534684480,1,1,0,0,0,1,1
7.534684720,1,1,0,0,1,1,1
7.534684960,1,1,1,1,1,1,1
7.534685600,1,1,0,0,1,1,1
7.662558120,1,1,1,0,1,1,1
7.682617440,1,1,1,0,1,1,0
7.682617680,1,1,1,0,1,0,0
7.682617920,1,1,1,0,0,0,0
8.450189800,1,0,1,0,0,0,0
8.450194440,1,0,1,0,0,0,1
8.450194680,1,0,1,0,0,1,1
8.450194920,1,1,1,0,1,1,1
8.450195160,1,1,1,1,1,1,1
8.450195760,1,1,1,0,1,1,1
8.450300280,1,1,1,1,1,1,1
8.450301120,1,1,1,1,0,1,1
8.450301520,1,0,1,1,0,1,1
8.450409240,1,1,1,1,0,1,1
8.450409920,1,0,1,1,0,1,1
8.450609480,1,1,1,1,0,1,1
8.450749120,1,0,1,1,0,1,1
8.450899520,1,1,1,1,0,1,1
8.451229680,1,0,1,1,0,1,1
8.568069920,1,1,1,1,0,1,1
8.568189200,1,0,1,1,0,1,1
8.568605960,1,1,1,1,0,1,1
8.568607440,1,0,1,1,0,1,1
8.568925600,1,1,1,1,0,1,1
8.588129120,1,1,1,1,0,1,0
8.588129360,1,1,1,1,0,0,0
8.588129840,1,1,1,0,0,0,0
8.889315360,1,0,1,0,0,0,0
8.889319640,1,0,1,0,0,0,1
8.889319880,1,0,1,0,0,1,1
8.889320120,1,1,1,0,1,1,1
8.889320360,1,1,1,1,1,1,1
8.889321000,1,1,1,0,1,1,1
8.889425520,1,1,1,1,1,1,1
8.889426400,1,0,1,1,0,1,1
8.979990400,1,1,1,1,0,1,1
9.006271760,1,1,1,1,0,1,0
9.006272000,1,1,1,1,0,0,0
9.006272480,1,1,1,0,0,0,0
9.313199640,1,1,1,0,1,0,0
9.313199680,1,0,1,0,0,0,0
9.313203600,1,0,1,0,0,0,1
9.313203840,1,0,1,0,0,1,1
9.313204080,1,1,1,0,1,1,1
9.313204320,1,1,1,1,1,1,1
9.313204920,1,1,1,0,1,1,1
9.313309480,1,1,1,1,1,1,1
9.313310360,1,0,1,1,0,1,1
9.445852080,1,1,1,1,0,1,1
9.445889960,1,0,1,1,0,1,1
9.446014160,1,1,1,1,0,1,1
9.465911920,1,1,1,1,0,1,0
9.465912160,1,1,1,1,0,0,0
9.465912640,1,1,1,0,0,0,0
10.178500960,1,0,1,0,0,0,0
10.178503240,1,0,1,0,0,0,1
10.178503480,1,0,1,0,0,1,1
10.178503720,1,0,1,0,1,1,1
10.178503960,1,1,1,1,1,1,1
10.178504560,1,0,1,0,1,1,1
10.311772080,1,1,1,0,1,1,1
10.331831560,1,1,1,0,1,1,0
10.331831800,1,1,1,0,1,0,0
10.331832040,1,1,1,0,0,0,0
11.153265280,1,1,1,0,1,0,0
11.153265320,0,1,1,0,0,0,0
11.153269040,0,1,1,0,0,0,1
11.153269280,0,1,1,0,0,1,1
11.153269520,1,1,1,0,1,1,1
11.153269760,1,1,1,1,1,1,1
11.153270400,1,1,1,0,1,1,1
11.153374880,1,1,1,1,1,1,1
11.153375760,0,1,1,1,0,1,1
11.310781680,1,1,1,1,0,1,1
11.330845680,1,1,1,1,0,1,0
11.330845920,1,1,1,1,0,0,0
11.330846400,1,1,1,0,0,0,0
12.142258240,1,1,1,0,0,0,1
12.142258280,0,1,1,0,0,0,0
12.142263120,1,1,1,0,0,0,1
12.142263360,1,1,1,0,0,1,1
12.142263600,1,1,1,0,1,1,1
12.142263840,1,1,1,1,1,1,1
12.142264480,1,1,1,0,1,1,1
12.142369000,1,1,1,1,1,1,1
12.142369840,1,1,1,1,0,1,1
12.142474320,1,1,1,1,1,1,1
12.142475640,1,1,1,1,1,0,1
12.142579840,1,1,1,1,1,1,1
12.142581680,0,1,1,1,1,1,0
12.334681120,1,1,1,1,1,1,0
12.334724920,0,1,1,1,1,1,0
12.334957560,1,1,1,1,1,1,0
12.334957680,0,1,1,1,1,1,0
12.335038120,1,1,1,1,1,1,0
12.335038440,0,1,1,1,1,1,0
12.335077560,1,1,1,1,1,1,0
12.840190160,1,1,1,0,0,0,0
14.038812880,1,0,1,0,0,0,0
14.038852040,1,0,1,0,0,0,1
14.038852280,1,0,1,0,0,1,1
14.038852520,1,0,1,0,1,1,1
14.038852760,1,1,1,1,1,1,1
14.038853400,1,0,1,0,1,1,1
14.179039280,1,1,1,0,1,1,1
14.199104920,1,1,1,0,1,1,0
14.199105160,1,1,1,0,1,0,0
14.199105400,1,1,1,0,0,0,0
15.012102880,1,1,0,0,0,0,0
15.012105280,1,1,0,0,0,0,1
15.012105520,1,1,0,0,0,1,1
15.012105760,1,1,1,0,1,1,1
15.012106000,1,1,1,1,1,1,1
15.012106640,1,1,1,0,1,1,1
15.012211160,1,1,1,1,1,1,1
15.012212040,1,1,0,1,0,1,1
15.167646120,1,1,1,1,0,1,1
15.167646720,1,1,0,1,0,1,1
15.168101240,1,1,1,1,0,1,1
15.168101280,1,1,0,1,0,1,1
15.168421360,1,1,1,1,0,1,1
15.168422280,1,1,0,1,0,1,1
15.168451600,1,1,1,1,0,1,1
15.168452320,1,1,0,1,0,1,1
15.168498520,1,1,1,1,0,1,1
15.168498560,1,1,0,1,0,1,1
15.168509720,1,1,1,1,0,1,1
15.187708440,1,1,1,1,0,1,0
15.187708680,1,1,1,1,0,0,0
15.187709160,1,1,1,0,0,0,0
16.065902080,1,0,1,0,0,0,0
16.065904520,1,0,1,0,0,0,1
16.065904760,1,1,1,0,0,1,1
16.065905000,1,1,1,0,1,1,1
16.065905240,1,1,1,1,1,1,1
16.065905840,1,1,1,0,1,1,1
16.066010400,1,1,1,1,1,1,1
16.066011240,1,1,1,1,0,1,1
16.066115720,1,1,1,1,1,1,1
16.066117040,1,0,1,1,1,0,1
16.186991200,1,1,1,1,1,0,1
16.207053440,1,1,1,1,1,0,0
16.207053920,1,1,1,1,0,0,0
16.207054160,1,1,1,0,0,0,0
17.122665640,0,1,1,0,1,0,0
17.122665680,0,1,1,0,0,0,0
17.122668760,0,1,1,0,0,0,1
17.122669000,0,1,1,0,0,1,1
17.122669280,1,1,1,0,1,1,1
17.122669480,1,1,1,1,1,1,1
17.122670120,1,1,1,0,1,1,1
17.122774680,1,1,1,1,1,1,1
17.122775560,0,1,1,1,0,1,1
17.319430360,1,1,1,1,0,1,1
17.330433960,1,1,1,1,1,1,1
17.330434000,0,1,1,1,0,1,1
17.333938800,1,1,1,1,0,1,1
17.339491480,1,1,1,1,0,1,0
17.339491720,1,1,1,1,0,0,0
17.339492200,1,1,1,0,0,0,0
18.209569160,0,1,1,0,0,0,0
18.209572560,0,1,1,0,0,0,1
18.209572800,0,1,1,0,0,1,1
18.209573040,0,1,1,0,1,1,1
18.209573280,1,1,1,1,1,1,1
18.209573920,0,1,1,0,1,1,1
18.366899720,1,1,1,0,1,1,1
18.386959520,1,1,1,0,1,1,0
18.386959760,1,1,1,0,1,0,0
18.386960000,1,1,1,0,0,0,0
19.253723560,1,0,1,0,0,0,0
19.253728320,1,0,1,0,0,0,1
19.253728560,1,0,1,0,0,1,1
19.253728800,1,1,1,0,1,1,1
19.253729040,1,1,1,1,1,1,1
19.253729640,1,1,1,0,1,1,1
19.253834200,1,1,1,1,1,1,1
19.253835040,1,0,1,1,0,1,1
19.436380080,1,1,1,1,0,1,1
19.456444160,1,1,1,1,0,1,0
19.456444400,1,1,1,1,0,0,0
19.456444880,1,1,1,0,0,0,0
20.340404960,1,1,0,0,0,0,0
20.340407360,1,1,0,0,0,0,1
20.340407600,1,1,1,0,0,1,1
20.340407840,1,1,1,0,1,1,1
20.340408080,1,1,1,1,1,1,1
20.340408680,1,1,1,0,1,1,1
20.340513240,1,1,1,1,1,1,1
20.340514080,1,1,1,1,0,1,1
20.340618600,1,1,1,1,1,1,1
20.340619920,1,1,0,1,1,0,1
20.462963160,1,1,1,1,1,0,1
20.483019880,1,1,1,1,1,0,0
20.483020360,1,1,1,1,0,0,0
20.483020600,1,1,1,0,0,0,0
21.459091560,1,0,1,0,0,0,0
21.459096040,1,1,1,0,0,0,1
21.459096280,1,1,1,0,0,1,1
21.459096520,1,1,1,0,1,1,1
21.459096760,1,1,1,1,1,1,1
21.459097400,1,1,1,0,1,1,1
21.459201920,1,1,1,1,1,1,1
21.459202800,1,1,1,1,0,1,1
21.459307280,1,1,1,1,1,1,1
21.459308600,1,1,1,1,1,0,1
21.459412840,1,1,1,1,1,1,1
21.459414680,1,0,1,1,1,1,0
21.613949760,1,1,1,1,1,1,0
21.613950080,1,0,1,1,1,1,0
21.613996800,1,1,1,1,1,1,0
21.614000320,1,1,1,1,1,1,1
21.614000360,1,0,1,1,1,1,0
21.614231800,1,1,1,1,1,1,0
21.634008200,1,1,1,1,1,0,0
21.634008440,1,1,1,1,0,0,0
21.634008680,1,1,1,0,0,0,0
22.419739160,0,1,1,0,0,0,0
22.419741440,0,1,1,0,0,0,1
22.419741680,1,1,1,0,0,1,1
22.419741920,1,1,1,0,1,1,1
22.419742160,1,1,1,1,1,1,1
22.419742800,1,1,1,0,1,1,1
22.419847320,1,1,1,1,1,1,1
22.419848160,1,1,1,1,0,1,1
22.419952600,1,1,1,1,1,1,1
22.419953960,0,1,1,1,1,0,1
22.549579280,1,1,1,1,1,0,1
22.549608560,0,1,1,1,1,0,1
22.549617600,1,1,1,1,1,0,1
22.549617720,0,1,1,1,1,0,1
22.549624680,1,1,1,1,1,0,1
22.549625400,0,1,1,1,1,0,1
22.549675080,1,1,1,1,1,0,1
22.561385280,1,1,1,1,1,1,1
22.561385320,0,1,1,1,1,0,1
